"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K11-P12",37.5,43.8,48.7,38.3,34.3,32.4,35.6,21.8,28.2,24.1,12,42,75,101,132,158,188,216,243,277
"K103-P278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P560",27.5,20.9,19.9,17.5,NA,NA,NA,NA,NA,NA,126,200,269,346,NA,NA,NA,NA,NA,NA
"K11-P33",32,32.9,26.2,25.6,22.7,19.9,16.5,18.5,17.2,13.7,18,52,80,111,150,178,206,234,262,290
"K118-P94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P504",22.7,26,22.3,26.4,23.1,14.9,13.9,11.1,5,NA,29,56,85,120,147,178,211,239,274,NA
"K128-P270",24.4,22.3,NA,NA,NA,NA,NA,NA,NA,NA,31,87,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P414",40.3,36.7,25.5,NA,NA,NA,NA,NA,NA,NA,12,86,155,NA,NA,NA,NA,NA,NA,NA
"K100-P563",13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K102-P311",22.7,26,26.3,16.6,20.7,20.2,17.4,18.3,17.6,NA,20,47,77,110,138,167,203,230,258,NA
"K12-P556",45.7,39.7,31,17.5,NA,NA,NA,NA,NA,NA,33,107,176,253,NA,NA,NA,NA,NA,NA
"K10-P199",NA,30.6,33.6,33.6,29,20.5,15.3,NA,NA,NA,4,35,63,99,128,154,189,NA,NA,NA
"K12-P433",35.2,33.7,21.9,10.6,NA,NA,NA,NA,NA,NA,54,123,200,276,NA,NA,NA,NA,NA,NA
"K12-P277",41,30.3,22.9,NA,NA,NA,NA,NA,NA,NA,101,175,244,NA,NA,NA,NA,NA,NA,NA
"K12-P765",31.1,32.8,17.8,11.2,11.6,NA,NA,NA,NA,NA,10,87,163,199,245,NA,NA,NA,NA,NA
"K112-P307",21.6,21.6,15.6,20.2,20.5,20.5,20.2,18.8,19,NA,27,62,88,118,151,180,208,247,271,NA
"K12-P932",25.3,23.3,NA,NA,NA,NA,NA,NA,NA,NA,202,279,NA,NA,NA,NA,NA,NA,NA,NA
"K10-P81",32.4,52.7,43.9,44.3,49.1,44.7,51.6,38.2,36.7,27.5,8,40,71,99,129,162,190,225,253,282
"K130-P617",39.3,42.9,40.8,40.4,36.4,35.3,31.2,29.8,NA,NA,41,77,104,145,176,218,246,272,NA,NA
"K104-P442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P867",42.3,30.5,30.2,22.1,16.8,17.5,13.4,NA,NA,NA,30,65,93,128,156,191,221,NA,NA,NA
"K12-P918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K117-P15",32.5,40.7,38,34,30,24,24.4,23,20,15.6,8,36,64,99,128,163,190,211,253,281
